#iter       energy         tx         ty         tz       twist       
1      -2272392.772      0.000      0.000      3.457      348.263      
2      -2272392.772      0.000      0.000      3.457      348.263      
3      -2272392.772      0.000      0.000      3.457      348.263      
4      -2272414.490      0.000      0.000      3.400      349.101      
5      -2272414.490      0.000      0.000      3.400      349.101      
6      -2272417.632      0.000      0.000      3.363      348.757      
7      -2272417.632      0.000      0.000      3.363      348.757      
8      -2272417.632      0.000      0.000      3.363      348.757      
9      -2272417.632      0.000      0.000      3.363      348.757      
10      -2272418.279      0.000      0.000      3.373      349.310      
11      -2272418.466      0.000      0.000      3.359      349.474      
12      -2272418.466      0.000      0.000      3.359      349.474      
13      -2272418.466      0.000      0.000      3.359      349.474      
14      -2272418.466      0.000      0.000      3.359      349.474      
15      -2272418.466      0.000      0.000      3.359      349.474      
16      -2272418.466      0.000      0.000      3.359      349.474      
